Longitude,Latitude,depth_m, 14.May.15, 19.May.15, 22.May.15, 29.May.15, 5.Jun.15, 11.Jun.15, 17.Jun.15, 18.Jun.15, 19.Jun.15, 26.Jun.15, 27.Jun.15, 2.Jul.15, 10.Jul.15, 16.Jul.15, 24.Jul.15, 30.Jul.15, 7.Aug.15, 14.Aug.15, 20.Aug.15, 28.Aug.15, 3.Sep.15, 10.Sep.15, 16.Sep.15, 24.Sep.15, 1.Oct.15, 8.Oct.15, 15.Oct.15, 23.Oct.15, 30.Oct.15, 5.Nov.15, 12.Nov.15, 19.Nov.15, 1.Dec.15
-9433080,4774620,7.70,48.8663,40.6608,13.3718,45.7064,37.3075,36.0159,63.6448,75.2690,61.3782,32.5903,28.6399,42.5734,64.9688,43.0798,55.0964,60.1950,73.7789,65.8803,46.5546,79.0158,82.5915,82.2302,91.5375,74.9994,84.5213,79.2281,70.4789,68.5292,49.5359,49.5574,29.3128,31.0499,30.0399
-9433060,4774620,7.73,48.9706,40.6093,13.1403,45.5532,37.0810,35.8847,63.7982,75.5291,61.3446,32.2300,28.7870,42.2763,65.1635,42.7824,55.0027,59.9378,73.7138,65.6770,46.6415,78.8280,81.6970,82.2413,91.7112,73.8066,84.6803,78.9869,70.5962,68.3666,49.8186,49.4365,29.5511,31.0202,30.1836
-9433040,4774620,7.76,49.0722,40.5595,12.9156,45.4042,36.8609,35.7571,63.9473,75.7819,61.3119,31.8801,28.9302,41.9878,65.3527,42.4937,54.9119,59.6878,73.6508,65.4796,46.7257,78.6453,80.8267,82.2521,91.8800,72.6475,84.8351,78.7528,70.7100,68.2085,50.0937,49.3191,29.7827,30.9913,30.3235
-9433020,4774620,7.79,49.1703,40.5115,12.6990,45.2606,36.6485,35.6338,64.0910,76.0256,61.2806,31.5428,29.0684,41.7099,65.5351,42.2155,54.8244,59.4466,73.5902,65.2892,46.8068,78.4688,79.9872,82.2626,92.0423,71.5297,84.9844,78.5274,70.8193,68.0559,50.3590,49.2059,30.0059,30.9634,30.4585
-9433000,4774620,7.81,49.2642,40.4657,12.4921,45.1233,36.4452,35.5157,64.2282,76.2586,61.2506,31.2206,29.2006,41.4444,65.7095,41.9497,54.7406,59.2160,73.5325,65.1071,46.8842,78.2999,79.1847,82.2727,92.1969,70.4610,85.1273,78.3120,70.9234,67.9096,50.6126,49.0975,30.2191,30.9366,30.5876
-9432980,4774620,7.84,49.3532,40.4223,12.2964,44.9934,36.2523,35.4036,64.3581,76.4794,61.2223,30.9158,29.3259,41.1932,65.8748,41.6981,54.6609,58.9976,73.4781,64.9343,46.9572,78.1398,78.4253,82.2824,92.3425,69.4486,85.2628,78.1081,71.0215,67.7708,50.8523,48.9947,30.4207,30.9112,30.7097
-9432960,4774620,7.86,49.4367,40.3816,12.1132,44.8718,36.0713,35.2982,64.4796,76.6866,61.1959,30.6304,29.4434,40.9579,66.0298,41.4624,54.5859,58.7928,73.4273,64.7720,47.0255,77.9896,77.7146,82.2916,92.4780,68.4996,85.3898,77.9171,71.1127,67.6404,51.0765,48.8982,30.6094,30.8873,30.8239
-9432940,4774620,7.89,49.5139,40.3438,11.9438,44.7593,35.9032,35.2003,64.5919,76.8786,61.1715,30.3664,29.5523,40.7402,66.1735,41.2443,54.5160,58.6031,73.3805,64.6212,47.0885,77.8504,77.0575,82.3004,92.6026,67.6205,85.5075,77.7401,71.1966,67.5191,51.2834,48.8085,30.7839,30.8650,30.9294
-9432920,4774620,7.91,49.5845,40.3091,11.7892,44.6567,35.7493,35.1105,64.6944,77.0544,61.1492,30.1256,29.6519,40.5414,66.3050,41.0450,54.4516,58.4297,73.3379,64.4830,47.1459,77.7231,76.4585,82.3086,92.7155,66.8169,85.6152,77.5785,71.2726,67.4080,51.4718,48.7263,30.9429,30.8445,31.0255
-9432900,4774620,7.93,49.6479,40.2778,11.6504,44.5646,35.6106,35.0294,64.7863,77.2127,61.1292,29.9092,29.7415,40.3627,66.4235,40.8657,54.3931,58.2737,73.2997,64.3581,47.1973,77.6085,75.9210,82.3161,92.8159,66.0939,85.7121,77.4330,71.3403,67.3076,51.6404,48.6520,31.0856,30.8260,31.1117
-9432880,4774620,7.94,49.7039,40.2500,11.5282,44.4835,35.4877,34.9575,64.8673,77.3528,61.1116,29.7185,29.8206,40.2050,66.5283,40.7075,54.3410,58.1359,73.2662,64.2473,47.2426,77.5073,75.4480,82.3230,92.9037,65.4552,85.7977,77.3044,71.3995,67.2186,51.7885,48.5861,31.2113,30.8095,31.1874
-9432860,4774620,7.96,49.7521,40.2259,11.4229,44.4137,35.3814,34.8952,64.9369,77.4738,61.0964,29.5542,29.8889,40.0690,66.6188,40.5711,54.2955,58.0171,73.2374,64.1513,47.2815,77.4200,75.0412,82.3291,92.9784,64.9040,85.8715,77.1935,71.4499,67.1415,51.9156,48.5291,31.3194,30.7952,31.2525
-9432840,4774620,7.97,49.7924,40.2056,11.3349,44.3554,35.2921,34.8427,64.9951,77.5754,61.0838,29.4169,29.9461,39.9552,66.6947,40.4569,54.2570,57.9176,73.2135,64.0705,47.3139,77.3468,74.7018,82.3344,93.0403,64.4423,85.9335,77.1005,71.4917,67.0766,52.0213,48.4810,31.4097,30.7831,31.3067
-9432820,4774620,7.98,49.8247,40.1892,11.2643,44.3086,35.2201,34.8004,65.0417,77.6572,61.0736,29.3067,29.9922,39.8638,66.7559,40.3650,54.2257,57.8375,73.1943,64.0052,47.3399,77.2879,74.4299,82.3388,93.0893,64.0708,85.9832,77.0257,71.5249,67.0243,52.1058,48.4422,31.4820,30.7734,31.3500
-9432800,4774620,7.98,49.8491,40.1767,11.2110,44.2734,35.1654,34.7682,65.0769,77.7193,61.0660,29.2235,30.0270,39.7946,66.8023,40.2955,54.2017,57.7769,73.1799,63.9555,47.3594,77.2434,74.2249,82.3423,93.1260,63.7897,86.0209,76.9690,71.5497,66.9844,52.1693,48.4127,31.5366,30.7659,31.3826
-9432780,4774620,7.99,49.8657,40.1681,11.1747,44.2493,35.1280,34.7462,65.1008,77.7617,61.0607,29.1668,30.0508,39.7475,66.8340,40.2481,54.1852,57.7356,73.1700,63.9215,47.3728,77.2130,74.0855,82.3446,93.1507,63.5977,86.0467,76.9303,71.5665,66.9572,52.2124,48.3925,31.5738,30.7608,31.4048
-9432760,4774620,7.99,49.8748,40.1634,11.1549,44.2362,35.1076,34.7342,65.1139,77.7848,61.0579,29.1359,30.0637,39.7218,66.8513,40.2223,54.1762,57.7130,73.1647,63.9029,47.3800,77.1964,74.0095,82.3460,93.1642,63.4930,86.0607,76.9092,71.5756,66.9423,52.2359,48.3814,31.5940,30.7580,31.4169
-9432740,4774620,7.99,49.8766,40.1626,11.1510,44.2336,35.1038,34.7319,65.1165,77.7892,61.0573,29.1298,30.0662,39.7168,66.8546,40.2173,54.1747,57.7087,73.1636,63.8995,47.3815,77.1932,73.9943,82.3461,93.1671,63.4729,86.0634,76.9052,71.5776,66.9395,52.2407,48.3794,31.5980,30.7575,31.4193
-9432720,4774620,7.99,49.8714,40.1655,11.1623,44.2410,35.1160,34.7392,65.1091,77.7755,61.0589,29.1474,30.0587,39.7316,66.8444,40.2323,54.1805,57.7218,73.1666,63.9108,47.3774,77.2028,74.0367,82.3452,93.1603,63.5339,86.0552,76.9175,71.5729,66.9485,52.2280,48.3861,31.5867,30.7592,31.4127
-9432700,4774620,7.99,49.8597,40.1720,11.1878,44.2578,35.1435,34.7557,65.0924,77.7445,61.0626,29.1874,30.0416,39.7653,66.8212,40.2662,54.1935,57.7515,73.1733,63.9364,47.3682,77.2247,74.1332,82.3430,93.1448,63.6720,86.0367,76.9455,71.5622,66.9689,52.1990,48.4013,31.5608,30.7631,31.3976
-9432680,4774620,7.98,49.8419,40.1820,11.2267,44.2834,35.1856,34.7808,65.0670,77.6971,61.0682,29.2484,30.0155,39.8166,66.7859,40.3181,54.2136,57.7967,73.1835,63.9756,47.3542,77.2580,74.2799,82.3396,93.1213,63.8829,86.0085,76.9882,71.5461,67.0000,52.1549,48.4245,31.5214,30.7691,31.3747
-9432660,4774620,7.97,49.8184,40.1953,11.2779,44.3170,35.2415,34.8143,65.0335,77.6343,61.0755,29.3287,29.9811,39.8844,66.7391,40.3866,54.2406,57.8565,73.1970,64.0277,47.3358,77.3021,74.4727,82.3350,93.0909,64.1616,85.9711,77.0448,71.5252,67.0414,52.0973,48.4554,31.4696,30.7771,31.3446
-9432640,4774620,7.97,49.7897,40.2118,11.3404,44.3580,35.3102,34.8555,64.9927,77.5572,61.0845,29.4268,29.9389,39.9674,66.6815,40.4704,54.2740,57.9298,73.2133,64.0920,47.3134,77.3560,74.7074,82.3292,93.0546,64.5033,85.9253,77.1141,71.5001,67.0925,52.0274,48.4935,31.4064,30.7869,31.3080
-9432620,4774620,7.96,49.7562,40.2312,11.4132,44.4058,35.3909,34.9040,64.9453,77.4668,61.0949,29.5411,29.8896,40.0642,66.6141,40.5684,54.3137,58.0155,73.2322,64.1678,47.2874,77.4191,74.9799,82.3222,93.0133,64.9028,85.8718,77.1952,71.4715,67.1525,51.9467,48.5384,31.3330,30.7986,31.2657
-9432600,4774620,7.94,49.7185,40.2534,11.4953,44.4595,35.4826,34.9593,64.8919,77.3642,61.1067,29.6700,29.8337,40.1737,66.5377,40.6792,54.3594,58.1123,73.2534,64.2541,47.2582,77.4905,75.2860,82.3140,92.9678,65.3548,85.8112,77.2871,71.4399,67.2208,51.8566,48.5895,31.2504,30.8119,31.2184
